Date,Product,Quantity,CustomerID,StoreLocation,SalesAmount
2023-03-26,Product_X,6,1390,Kolkata,3000
2023-03-17,Product_W,7,1860,Delhi,4900
2023-01-31,Product_X,3,1169,Mumbai,1500
2023-03-13,Product_Y,5,1250,Bangalore,1500
2023-03-27,Product_Y,2,1945,Delhi,600
2023-03-28,Product_X,4,1729,Bangalore,2000
2023-02-16,Product_V,6,1282,Chennai,6000
2023-03-25,Product_W,3,1060,Chennai,2100
2023-01-08,Product_X,1,1266,Bangalore,500
2023-01-03,Product_V,4,1986,Delhi,4000
2023-02-18,Product_W,5,1484,Bangalore,3500
2023-01-22,Product_Z,8,1826,Kolkata,1600
2023-02-06,Product_W,7,1808,Mumbai,4900
2023-03-09,Product_X,4,1346,Delhi,2000
2023-01-04,Product_Z,2,1925,Mumbai,400
2023-03-11,Product_W,7,1602,Bangalore,4900
2023-03-19,Product_V,8,1826,Delhi,8000
2023-03-31,Product_X,8,1712,Mumbai,4000
2023-01-29,Product_X,2,1387,Bangalore,1000
2023-02-05,Product_W,5,1319,Mumbai,3500
2023-03-03,Product_V,5,1085,Bangalore,5000
2023-03-15,Product_V,2,1034,Delhi,2000
2023-03-21,Product_Y,1,1495,Kolkata,300
2023-02-01,Product_V,2,1691,Bangalore,2000
2023-04-06,Product_W,8,1861,Kolkata,5600
2023-02-19,Product_X,7,1867,Bangalore,3500
2023-03-05,Product_X,5,1392,Mumbai,2500
2023-03-01,Product_X,5,1363,Chennai,2500
2023-02-17,Product_Y,2,1263,Delhi,600
2023-02-09,Product_Z,9,1602,Mumbai,1800
2023-03-14,Product_W,2,1399,Bangalore,1400
2023-01-12,Product_Y,2,1823,Bangalore,600
2023-02-20,Product_Z,4,1104,Kolkata,800
2023-01-30,Product_Z,5,1762,Kolkata,1000
2023-02-03,Product_X,1,1763,Chennai,500
2023-01-15,Product_V,4,1601,Mumbai,4000
2023-03-22,Product_V,8,1739,Mumbai,8000
2023-03-24,Product_W,4,1562,Kolkata,2800
2023-03-18,Product_Y,1,1878,Delhi,300
2023-01-06,Product_Y,3,1619,Bangalore,900
2023-01-19,Product_Y,6,1266,Mumbai,1800
2023-01-05,Product_Y,4,1036,Kolkata,1200
2023-01-17,Product_Z,3,1097,Chennai,600
2023-03-23,Product_W,5,1480,Delhi,3500
2023-03-08,Product_Y,1,1112,Delhi,300
2023-02-25,Product_Z,9,1834,Mumbai,1800
2023-02-14,Product_V,6,1225,Chennai,6000
2023-01-01,Product_W,8,1082,Delhi,5600
2023-02-22,Product_V,1,1315,Kolkata,1000
2023-03-16,Product_V,3,1031,Kolkata,3000
2023-04-05,Product_W,2,1759,Kolkata,1400
2023-02-13,Product_Y,1,1479,Delhi,300
2023-03-20,Product_Y,4,1307,Mumbai,1200
2023-03-12,Product_Y,5,1528,Bangalore,1500
2023-03-07,Product_X,7,1834,Kolkata,3500
2023-02-28,Product_V,9,1760,Chennai,9000
2023-01-28,Product_W,9,1049,Kolkata,6300
2023-03-02,Product_X,9,1739,Chennai,4500
2023-02-07,Product_V,6,1248,Delhi,6000
2023-02-02,Product_W,2,1931,Chennai,1400
2023-04-03,Product_Z,2,1411,Delhi,400
2023-03-04,Product_X,7,1174,Mumbai,3500
2023-02-15,Product_W,1,1656,Kolkata,700
2023-01-18,Product_Z,8,1050,Mumbai,1600
2023-01-21,Product_Z,6,1473,Kolkata,1200
2023-01-27,Product_X,9,1003,Kolkata,4500
2023-04-04,Product_V,6,1766,Kolkata,6000
2023-01-09,Product_Z,5,1400,Bangalore,1000
2023-01-13,Product_X,4,1788,Bangalore,2000
2023-04-08,Product_Y,1,1085,Kolkata,300
2023-02-24,Product_W,6,1100,Bangalore,4200
2023-04-07,Product_W,7,1422,Mumbai,4900
2023-02-04,Product_Z,2,1984,Kolkata,400
2023-02-21,Product_V,6,1014,Bangalore,6000
2023-02-26,Product_W,8,1584,Mumbai,5600
2023-04-01,Product_X,1,1090,Delhi,500
2023-02-23,Product_Y,8,1573,Chennai,2400
2023-01-14,Product_Z,3,1335,Bangalore,600
2023-02-10,Product_V,6,1852,Kolkata,6000
2023-02-08,Product_V,8,1290,Kolkata,8000
2023-01-10,Product_Y,7,1342,Bangalore,2100
2023-01-25,Product_X,7,1291,Mumbai,3500
2023-02-11,Product_X,3,1239,Delhi,1500
2023-04-09,Product_X,4,1915,Mumbai,2000
2023-02-27,Product_V,9,1376,Kolkata,9000
2023-04-02,Product_Z,4,1325,Chennai,800
2023-01-26,Product_Z,9,1594,Delhi,1800
2023-01-20,Product_W,2,1319,Kolkata,1400
2023-01-07,Product_Z,7,1741,Bangalore,1400
2023-01-16,Product_Y,3,1347,Bangalore,900
2023-01-11,Product_X,5,1338,Kolkata,2500
2023-03-29,Product_Y,8,1063,Delhi,2400
2023-02-12,Product_Z,6,1745,Bangalore,1200
2023-03-30,Product_V,5,1099,Chennai,5000
2023-03-06,Product_Z,3,1884,Kolkata,600
2023-01-24,Product_Z,8,1862,Bangalore,1600
2023-04-10,Product_X,6,1612,Kolkata,3000
2023-01-23,Product_V,8,1485,Chennai,8000
2023-03-10,Product_W,2,1710,Delhi,1400
2023-01-02,Product_W,3,1487,Bangalore,2100
